,Nome,Sexo,CPF,Idade,Email,Nota Enem,CRA2,CRA4,CRA6,Abandonou,Semestre Abandonou
508,Ana Clara Moreira,Feminino,596.378.204-00,28,sabrinanascimento@example.com,663,8.5,8.92,8.07,False,
509,Augusto Caldeira,Masculino,981.734.056-20,23,luiz-gustavo27@example.com,701,6.96,5.83,7.23,False,
510,João Gabriel da Luz,Masculino,738.512.946-37,25,luiz-feliperodrigues@example.org,671,,,,True,1.0
511,Dra. Carolina da Cruz,Feminino,014.296.375-52,28,vpinto@example.com,644,5.01,7.49,9.85,False,
512,Elisa Costela,Feminino,216.037.954-99,21,diegocardoso@example.org,735,6.81,5.86,8.56,False,
513,Sr. Juan Teixeira,Masculino,248.579.106-67,19,barbarafarias@example.net,750,5.93,5.49,,True,5.0
514,Dra. Maria Cecília Melo,Feminino,342.879.501-60,20,lorenzo56@example.org,712,6.41,8.8,9.32,False,
515,Levi Mendes,Masculino,830.546.279-00,21,melohenrique@example.net,776,,,,True,1.0
516,Maria Cecília Costa,Feminino,203.567.891-95,28,caioferreira@example.com,674,6.73,5.14,5.1,False,
517,Heitor Gonçalves,Masculino,729.405.381-23,24,qpeixoto@example.org,735,6.61,6.25,9.81,False,
518,Ana Lívia da Luz,Feminino,214.789.530-04,20,das-nevesdiogo@example.com,696,5.31,6.09,6.22,False,
519,Carolina Mendes,Feminino,381.456.709-93,28,raquel31@example.net,662,,,,True,1.0
520,André da Costa,Masculino,895.167.403-75,24,arthur26@example.com,669,5.86,5.04,8.37,False,
521,Srta. Valentina Silveira,Feminino,386.205.147-17,27,milena50@example.com,789,8.07,,,True,3.0
522,Sr. Vinicius Porto,Masculino,924.508.673-92,24,vicentebarros@example.net,662,5.07,8.67,7.69,False,
523,Benício Silveira,Masculino,237.894.506-00,18,moreiracamila@example.net,764,5.27,5.15,7.23,False,
524,Calebe Alves,Masculino,215.896.743-91,22,ysilveira@example.org,781,,,,True,1.0
525,Maria Sophia Melo,Feminino,396.741.028-50,24,kda-rocha@example.org,653,6.18,5.42,8.47,False,
526,Sr. Ian Oliveira,Masculino,407.652.139-07,23,ana-lauraoliveira@example.net,722,7.17,6.09,7.18,False,
527,Gustavo Costa,Masculino,572.089.163-30,25,peixotoleandro@example.org,699,8.49,7.26,6.17,False,
528,Sr. Enrico Sales,Masculino,452.138.697-00,23,luiz-miguel89@example.net,689,9.35,7.46,5.5,False,
529,Esther Porto,Feminino,741.283.059-79,24,catarina01@example.org,663,9.89,8.43,5.41,False,
530,Brenda Pires,Feminino,862.105.439-60,28,pda-costa@example.org,688,7.01,6.51,8.26,False,
531,Olivia Ribeiro,Feminino,318.624.097-22,24,amandaferreira@example.org,740,8.13,9.02,,True,6.0
532,Marcela Cardoso,Feminino,248.071.563-90,24,rafaela68@example.org,789,5.88,8.6,8.75,False,
533,Ana Laura Viana,Feminino,297.460.513-34,21,knascimento@example.org,705,,,,True,1.0
534,Enrico Rocha,Masculino,951.832.764-55,27,bmartins@example.org,737,9.23,5.49,7.98,False,
535,Stella Lima,Feminino,214.750.936-16,26,joao-lucas66@example.org,798,8.92,6.18,5.14,False,
536,Yuri Lima,Masculino,450.376.982-00,20,luigi08@example.org,764,5.27,,,True,4.0
537,Maitê Mendes,Feminino,760.192.843-87,18,maria-alicealves@example.net,788,5.49,5.49,9.04,False,
538,Maria Eduarda Gomes,Feminino,321.746.098-78,28,dsantos@example.com,711,,,,True,1.0
539,Nina Viana,Feminino,450.382.917-32,28,eduardopereira@example.org,776,7.49,6.15,7.72,False,
540,Breno da Paz,Masculino,786.204.351-08,25,danielateixeira@example.com,794,8.59,,,True,4.0
541,Ana Júlia Monteiro,Feminino,741.926.530-52,26,da-rochaamanda@example.com,661,5.92,9.3,7.47,False,
542,Sr. Samuel Alves,Masculino,234.681.095-98,28,alexandreda-luz@example.org,716,,,,True,2.0
543,Carolina Moraes,Feminino,925.408.136-15,23,ocosta@example.org,745,6.11,8.23,,True,6.0
544,Vicente da Luz,Masculino,201.985.437-60,26,ana-livia91@example.com,641,5.01,8.04,5.89,False,
545,Henrique Moreira,Masculino,702.956.841-94,25,larissa64@example.com,659,6.69,9.51,9.47,False,
546,Ana Luiza da Costa,Feminino,821.340.795-41,19,sofia49@example.org,658,,,,True,2.0
547,Nicole Barbosa,Feminino,795.840.123-04,20,da-rochasophie@example.org,774,,,,True,1.0
548,Luiz Miguel Souza,Masculino,489.763.210-22,21,vitor-gabriel58@example.net,641,,,,True,2.0
549,Bryan Silveira,Masculino,247.561.809-49,27,camposmirella@example.com,788,6.39,7.54,6.36,False,
550,Kevin Costela,Masculino,419.783.025-41,21,moraesfelipe@example.org,788,9.21,9.31,5.36,False,
551,Julia Dias,Feminino,402.159.683-60,22,leticia33@example.com,772,6.49,9.28,6.95,False,
552,Giovanna Costa,Feminino,710.894.356-57,18,maraujo@example.net,797,5.97,8.8,8.94,False,
553,Vinicius Silva,Masculino,720.891.453-23,28,daviaragao@example.org,750,5.58,6.33,9.85,False,
554,Lorena Pinto,Feminino,079.124.835-60,20,maria-alice07@example.net,701,9.77,9.17,7.68,False,
555,Pedro Miguel Duarte,Masculino,412.863.590-15,26,gfogaca@example.com,675,7.93,5.1,6.92,False,
556,Isaac Costa,Masculino,678.259.013-12,26,pedro-miguel58@example.net,668,,,,True,2.0
557,Dra. Alice Farias,Feminino,720.915.348-97,21,castrogabriel@example.org,718,7.51,5.1,9.27,False,
558,Julia Souza,Feminino,392.580.164-24,27,qnovaes@example.org,718,6.08,9.48,8.06,False,
559,Leonardo Porto,Masculino,719.053.428-88,19,duartejulia@example.org,773,9.91,7.92,,True,5.0
560,Esther Rocha,Feminino,365.870.214-17,21,juliana08@example.org,642,8.7,6.45,9.04,False,
561,Ana Júlia Rodrigues,Feminino,712.543.980-23,21,salesalicia@example.net,646,6.56,7.62,9.35,False,
562,Lucas Gabriel Caldeira,Masculino,703.189.264-31,24,aramos@example.com,737,5.18,8.8,8.0,False,
563,Cecília Lima,Feminino,368.957.240-10,28,da-costacecilia@example.net,791,5.22,8.74,7.12,False,
564,Maria Julia Silva,Feminino,835.214.670-07,28,costamariane@example.net,749,5.84,5.52,9.22,False,
565,Maria Luiza Lima,Feminino,276.950.341-34,22,asantos@example.org,766,9.42,7.92,6.19,False,
566,Gustavo Caldeira,Masculino,589.316.742-28,28,luigibarros@example.org,693,8.1,5.54,,True,6.0
567,Heitor Fernandes,Masculino,863.571.024-07,21,freitasyasmin@example.org,790,9.42,,,True,4.0
568,João Pedro Nascimento,Masculino,298.107.436-96,27,pedro-lucas51@example.org,717,9.54,,,True,3.0
569,Ana Clara Rocha,Feminino,380.417.265-26,21,enricorocha@example.org,764,,,,True,1.0
570,Vicente Martins,Masculino,543.168.790-57,22,benjamin14@example.org,785,,,,True,1.0
571,Dr. Lorenzo Lopes,Masculino,732.901.865-12,18,tsilva@example.com,685,9.15,9.36,6.12,False,
572,Dr. Augusto Sales,Masculino,184.297.530-79,26,walves@example.net,759,8.09,5.15,9.1,False,
573,Dra. Julia Moura,Feminino,068.521.437-08,25,leonardo02@example.net,654,6.22,9.32,8.67,False,
574,Bryan Cunha,Masculino,312.047.659-52,27,ferreirajoao-vitor@example.org,726,8.19,8.75,8.41,False,
575,Maria da Luz,Feminino,413.527.698-91,28,caio08@example.org,773,,,,True,2.0
576,Kevin Peixoto,Masculino,405.719.628-58,18,fernandesdavi@example.org,732,9.07,7.74,,True,5.0
577,Enrico Pires,Masculino,047.235.698-47,22,brendada-conceicao@example.org,799,6.6,7.8,8.71,False,
578,Lívia Dias,Feminino,179.423.658-91,24,xrocha@example.org,644,5.23,9.98,9.92,False,
579,Ana Vitória Moreira,Feminino,135.824.906-70,27,nunescaue@example.org,664,8.83,5.12,5.71,False,
580,Fernanda Peixoto,Feminino,596.207.831-40,23,maria-vitoria24@example.net,775,6.94,6.41,8.19,False,
581,Gabriel Peixoto,Masculino,074.261.935-43,23,diasjoao-gabriel@example.com,788,8.56,6.47,7.06,False,
582,Pietro das Neves,Masculino,539.286.147-46,27,da-cruzalexandre@example.com,760,5.37,8.61,8.2,False,
583,Alexandre Silveira,Masculino,429.638.071-04,19,milenaaragao@example.net,761,9.29,8.09,,True,5.0
584,Sofia Rocha,Feminino,861.534.207-53,18,da-luzana-clara@example.net,779,7.81,7.4,8.49,False,
585,Sabrina Ramos,Feminino,864.170.253-90,27,ana57@example.com,699,5.78,9.22,9.23,False,
586,Carlos Eduardo Rezende,Masculino,027.831.654-90,19,jribeiro@example.com,701,6.5,6.17,9.44,False,
587,Lavínia Costela,Feminino,843.651.027-53,20,wferreira@example.com,738,8.23,6.39,5.61,False,
588,Leonardo da Paz,Masculino,901.324.687-78,19,das-nevesguilherme@example.net,688,5.17,6.04,,True,6.0
589,Ana Júlia Pereira,Feminino,309.415.728-97,25,cunharyan@example.com,763,8.57,,,True,4.0
590,Gabrielly da Paz,Feminino,691.384.705-00,20,vitor-hugo49@example.com,793,9.84,8.36,8.2,False,
591,Nicolas Moraes,Masculino,468.903.125-89,22,da-costaalicia@example.net,654,8.34,,,True,3.0
592,Lavínia Cardoso,Feminino,120.498.576-67,19,dda-mota@example.org,650,6.6,7.25,9.6,False,
593,Alice Ribeiro,Feminino,705.631.289-68,19,qazevedo@example.org,712,9.12,9.78,5.35,False,
594,Laura Peixoto,Feminino,847.032.159-50,20,maitesilva@example.com,681,9.78,6.3,9.77,False,
595,Enzo Gabriel Rezende,Masculino,460.738.159-48,27,vda-luz@example.org,747,8.58,,,True,3.0
596,Dra. Beatriz Viana,Feminino,381.726.450-07,20,eloahcampos@example.com,785,7.52,6.14,,True,5.0
597,João Felipe Nunes,Masculino,397.084.625-00,24,da-conceicaobenicio@example.net,667,7.61,9.2,,True,6.0
598,Heloísa Cardoso,Feminino,870.425.961-02,19,castronicolas@example.org,710,7.77,9.75,5.77,False,
599,Srta. Alana Nogueira,Feminino,803.716.529-95,28,antonio12@example.org,780,6.81,9.9,8.99,False,
600,Anthony da Cruz,Masculino,376.052.894-56,19,cauerodrigues@example.net,667,6.31,8.35,6.46,False,
601,Laís Duarte,Feminino,632.817.940-50,26,oduarte@example.org,768,,,,True,2.0
602,Julia Monteiro,Feminino,728.519.346-19,21,luccada-mata@example.com,705,7.68,6.71,8.19,False,
603,Miguel Moreira,Masculino,427.809.531-79,18,lunajesus@example.net,774,8.21,8.32,7.19,False,
604,Bernardo Sales,Masculino,148.536.907-00,22,da-cruzbruna@example.org,788,8.17,9.26,8.59,False,
605,Sra. Isabel Ribeiro,Feminino,705.914.236-34,20,luiz-fernandoda-paz@example.com,699,6.63,5.87,5.33,False,
606,Rafael Araújo,Masculino,785.096.312-12,24,lavinia19@example.org,705,8.23,9.42,5.95,False,
607,Francisco Cardoso,Masculino,249.305.761-99,27,sofia63@example.org,658,9.91,8.5,6.3,False,
608,Calebe Martins,Masculino,529.678.031-03,22,vitor95@example.net,785,7.44,9.32,,True,5.0
609,Vinicius Cardoso,Masculino,795.068.341-48,25,samuel64@example.org,686,5.52,8.89,6.05,False,
610,Murilo Freitas,Masculino,671.258.304-71,26,augusto39@example.com,779,8.25,9.76,6.39,False,
611,Raul Vieira,Masculino,936.178.502-86,20,igorcosta@example.net,660,6.43,9.24,6.18,False,
612,Helena Fernandes,Feminino,784.952.136-64,18,ebarros@example.org,691,9.87,8.03,9.4,False,
613,Diego da Rocha,Masculino,938.106.254-42,23,larissaazevedo@example.net,712,6.43,9.25,5.13,False,
614,Breno Carvalho,Masculino,206.384.975-74,19,caroline40@example.org,729,9.1,8.02,8.4,False,
615,Lorena Jesus,Feminino,460.371.852-71,25,da-conceicaoalicia@example.org,676,9.99,8.84,9.06,False,
616,Giovanna da Mata,Feminino,986.024.751-01,23,cunhacaua@example.com,644,7.49,9.75,5.54,False,
617,Murilo da Mota,Masculino,094.681.375-20,23,gustavo-henrique25@example.com,768,9.15,8.42,5.22,False,
618,Theo Rodrigues,Masculino,840.169.537-66,24,mirella07@example.com,708,7.63,9.19,8.84,False,
619,Letícia Costa,Feminino,156.380.249-05,22,cavalcantiana-laura@example.org,649,7.81,6.98,5.35,False,
620,Sr. Calebe da Mota,Masculino,804.536.729-65,26,erick19@example.net,658,5.91,9.07,,True,6.0
621,Enrico Carvalho,Masculino,381.452.960-05,28,speixoto@example.org,679,5.93,9.36,6.5,False,
622,Benício Campos,Masculino,129.358.674-91,23,luiz-henriquerocha@example.com,660,8.47,6.23,8.16,False,
623,Lara Costa,Feminino,879.123.406-96,21,barrosluana@example.org,744,7.81,6.59,6.29,False,
624,Isabel da Rosa,Feminino,518.620.397-12,28,nsilveira@example.com,736,9.37,8.52,,True,6.0
625,Joaquim Almeida,Masculino,689.520.473-38,24,stella34@example.net,692,6.49,7.89,5.25,False,
626,Agatha Fernandes,Feminino,849.231.065-06,25,da-motaleandro@example.net,772,9.04,5.98,8.7,False,
627,Sr. Anthony da Luz,Masculino,860.573.124-90,21,emilly88@example.net,720,7.26,7.31,,True,5.0
628,Gustavo Costa,Masculino,195.302.487-41,21,eda-mota@example.org,648,9.21,,,True,3.0
629,Ian Peixoto,Masculino,580.921.763-02,21,bsilva@example.net,776,5.85,9.52,7.01,False,
630,Mariane Rocha,Feminino,893.760.214-87,23,cda-rocha@example.com,796,7.24,9.41,6.19,False,
631,Carlos Eduardo Viana,Masculino,315.789.246-00,21,caua32@example.org,724,6.17,,,True,3.0
632,Bryan Melo,Masculino,459.208.731-32,21,maiteda-cruz@example.org,756,5.35,9.17,6.59,False,
633,Vitória Caldeira,Feminino,154.239.708-14,20,vitoria22@example.org,719,5.2,9.8,5.07,False,
634,Ana Vitória Gomes,Feminino,382.579.164-55,24,joao-lucas25@example.com,749,7.19,8.89,5.91,False,
635,Maria Fernanda Farias,Feminino,165.207.493-70,21,jesusmaysa@example.net,687,9.36,8.1,6.85,False,
636,Mariana Viana,Feminino,854.930.176-01,27,lorenaalves@example.com,747,7.59,7.24,7.56,False,
637,Ana Júlia Freitas,Feminino,734.850.219-97,18,lazevedo@example.net,661,8.28,6.05,5.29,False,
638,Laura Costela,Feminino,043.975.816-57,20,santosdavi-lucas@example.org,728,5.03,9.07,7.42,False,
639,Rodrigo Melo,Masculino,621.408.937-78,27,lorena51@example.org,715,5.22,9.23,9.62,False,
640,Rebeca da Mota,Feminino,103.674.859-66,26,enzo-gabriel49@example.org,687,5.31,5.64,,True,6.0
641,Thiago Gomes,Masculino,138.695.047-57,21,ana-lauraduarte@example.com,648,6.66,5.43,7.12,False,
642,Sr. Renan Freitas,Masculino,396.157.048-57,19,melomariane@example.net,778,,,,True,2.0
643,Pedro Rezende,Masculino,158.763.490-20,18,carolina62@example.org,703,5.09,8.25,9.03,False,
644,Isabelly Nogueira,Feminino,706.391.852-40,23,luna55@example.org,792,,,,True,2.0
645,Srta. Lara Melo,Feminino,138.746.052-80,26,bryan05@example.net,785,8.66,7.39,6.61,False,
646,Ana Luiza Campos,Feminino,705.489.316-66,28,cardosoalice@example.net,748,8.65,8.71,5.17,False,
647,Bryan Rezende,Masculino,821.764.509-49,21,kamilly55@example.com,681,5.62,6.4,,True,6.0
648,Thomas Barros,Masculino,230.896.741-22,27,cauarodrigues@example.org,727,9.99,5.22,,True,6.0
649,Sra. Sophia Rodrigues,Feminino,704.168.592-67,23,thalesda-luz@example.net,766,9.84,8.82,7.75,False,
650,Alexia Dias,Feminino,367.291.584-09,24,juan85@example.org,790,5.02,5.99,9.83,False,
651,Gabriela Lima,Feminino,945.837.201-14,18,vpires@example.com,642,6.01,8.85,9.9,False,
652,Milena Porto,Feminino,401.897.253-97,28,salmeida@example.net,666,6.75,8.05,9.29,False,
653,Antônio Moraes,Masculino,031.642.795-07,22,nicolefernandes@example.net,668,8.02,7.14,10.0,False,
654,Mirella Jesus,Feminino,347.689.021-03,28,danielbarros@example.com,685,6.03,5.01,7.08,False,
655,Pedro Henrique da Conceição,Masculino,894.216.703-96,18,faragao@example.org,649,6.29,9.2,9.3,False,
656,Rodrigo Viana,Masculino,981.342.705-14,19,castrokevin@example.net,664,5.39,7.26,,True,5.0
657,Thomas Carvalho,Masculino,802.354.197-88,25,bmonteiro@example.com,798,6.68,6.04,6.75,False,
658,Sabrina Alves,Feminino,190.385.726-03,25,pedro-miguel78@example.com,687,6.53,,,True,3.0
659,Igor Peixoto,Masculino,984.162.750-76,27,araujoisaac@example.net,655,6.23,9.53,9.36,False,
660,Dr. Bryan Cardoso,Masculino,873.159.426-37,26,msales@example.com,650,8.71,9.12,7.48,False,
661,Dra. Isadora Pereira,Feminino,863.105.749-57,24,zcarvalho@example.com,642,9.5,7.97,,True,6.0
662,Eloah da Costa,Feminino,176.324.508-07,25,carvalhobianca@example.org,700,6.32,5.97,6.8,False,
663,Sra. Juliana Ramos,Feminino,795.842.061-76,24,danielferreira@example.org,666,5.16,9.93,6.53,False,
664,Rodrigo Viana,Masculino,062.395.481-89,19,rodriguesrenan@example.org,666,9.12,,,True,4.0
665,Dra. Maria Clara Correia,Feminino,289.501.673-95,24,kcostela@example.net,652,6.58,9.35,7.48,False,
666,Ana Julia Farias,Feminino,621.405.938-98,22,araujoeduarda@example.org,686,6.15,5.33,6.51,False,
667,Isabella Alves,Feminino,132.946.857-00,25,luiz-otavio58@example.org,782,7.53,5.22,7.92,False,
668,Maria Luiza da Mata,Feminino,219.706.543-25,23,amandadias@example.com,683,8.49,9.87,6.78,False,
669,Vicente Rodrigues,Masculino,768.291.503-02,22,thalesporto@example.org,660,8.32,8.8,9.27,False,
670,Sra. Camila Moreira,Feminino,180.234.657-08,21,freitaspedro-henrique@example.com,640,7.06,7.52,8.12,False,
671,Dr. Isaac Peixoto,Masculino,049.236.185-15,19,caua25@example.org,658,7.14,5.56,5.32,False,
672,Emilly Carvalho,Feminino,951.247.683-55,28,piresbenjamin@example.org,786,7.84,5.8,5.21,False,
673,Leandro Vieira,Masculino,067.148.952-67,22,gabrielly70@example.net,644,9.66,5.43,7.83,False,
674,Srta. Sophia Cunha,Feminino,675.213.809-59,20,da-cruzlucas@example.org,649,8.31,7.13,,True,6.0
675,Cauã da Mata,Masculino,836.541.907-66,19,emonteiro@example.com,771,9.17,9.54,6.8,False,
676,Henrique das Neves,Masculino,135.972.480-04,21,kfarias@example.com,764,7.06,9.44,8.12,False,
677,Ryan Caldeira,Masculino,408.127.365-08,24,rfernandes@example.org,735,9.59,8.37,8.83,False,
678,Gustavo Henrique da Cunha,Masculino,051.284.763-08,18,salessarah@example.net,767,6.05,8.86,,True,6.0
679,Otávio Lopes,Masculino,023.491.657-52,28,luiza69@example.net,670,7.81,5.35,5.08,False,
680,Luiz Fernando da Mota,Masculino,013.956.248-60,20,da-mataandre@example.com,701,7.52,9.01,8.85,False,
681,Sra. Ana Carolina Jesus,Feminino,493.160.758-66,23,lucas-gabrielcunha@example.com,669,6.48,7.89,5.86,False,
682,Dr. Vicente Rodrigues,Masculino,639.410.257-16,26,nunesfelipe@example.org,756,6.72,8.95,6.77,False,
683,Júlia da Rocha,Feminino,802.476.319-22,21,umartins@example.net,710,5.96,7.64,,True,6.0
684,Dr. Enzo Gabriel Dias,Masculino,528.637.419-00,24,zsantos@example.net,753,7.29,6.26,,True,6.0
685,Clara Nascimento,Feminino,376.208.951-59,28,mcardoso@example.org,724,8.96,8.54,5.34,False,
686,Clarice Moura,Feminino,498.127.603-69,22,castrothomas@example.com,752,9.0,8.58,9.62,False,
687,Marcos Vinicius Melo,Masculino,756.023.894-74,21,davi-luccanovaes@example.com,733,5.85,8.99,9.55,False,
688,Fernando Silva,Masculino,340.961.752-34,23,anthonymendes@example.com,657,6.91,5.88,5.45,False,
689,Alexandre Carvalho,Masculino,921.308.457-97,25,agathanascimento@example.org,797,5.58,7.08,6.94,False,
690,Milena Ribeiro,Feminino,483.612.057-80,28,da-cruzlara@example.org,769,5.87,8.31,9.85,False,
691,Sr. Benício Lopes,Masculino,425.013.896-89,19,sarahgoncalves@example.org,670,6.18,5.79,7.3,False,
692,Juan Gonçalves,Masculino,804.752.913-79,24,earaujo@example.net,771,7.95,8.25,7.38,False,
693,Isadora Alves,Feminino,136.082.549-51,22,rrezende@example.net,700,5.75,9.31,,True,5.0
694,Eduardo Campos,Masculino,863.902.451-06,18,ifogaca@example.net,745,9.09,,,True,3.0
695,Gabriel da Mota,Masculino,371.582.064-08,20,fdas-neves@example.com,743,5.7,,,True,3.0
696,Sra. Carolina Almeida,Feminino,036.841.927-40,26,franciscoda-luz@example.net,692,6.86,8.12,5.48,False,
697,Sr. Pedro Henrique da Luz,Masculino,820.135.674-80,22,anthony81@example.com,768,,,,True,2.0
698,Isaac Viana,Masculino,064.723.895-00,18,carolinanogueira@example.net,759,9.41,9.19,7.83,False,
699,Alícia Moreira,Feminino,609.587.341-00,20,juansilva@example.org,665,5.42,6.46,5.51,False,
700,Pietra Almeida,Feminino,980.354.276-10,26,barrosluiza@example.net,642,,,,True,1.0
701,Theo Dias,Masculino,807.251.943-32,20,rafaela66@example.org,649,8.31,9.28,7.21,False,
702,Emanuella Silveira,Feminino,034.268.915-06,24,marceloalmeida@example.org,791,9.59,7.87,7.09,False,
703,Marina da Costa,Feminino,126.389.504-24,28,matheusfernandes@example.org,797,5.64,6.18,5.92,False,
704,Vitor Gabriel Almeida,Masculino,476.920.381-04,19,salescecilia@example.net,766,5.01,6.97,9.03,False,
705,Sr. Alexandre Teixeira,Masculino,652.803.914-33,25,gfarias@example.net,647,8.18,,,True,4.0
706,Anthony Rezende,Masculino,234.580.961-24,27,xsantos@example.com,718,8.49,9.95,9.81,False,
707,Ana Júlia Barbosa,Feminino,014.782.639-03,27,nalves@example.com,793,6.33,9.39,8.07,False,
708,Sra. Marina Viana,Feminino,783.491.562-28,18,cunharaul@example.net,664,,,,True,2.0
709,Diogo Pereira,Masculino,263.490.718-40,19,diasnatalia@example.net,753,8.92,8.31,7.99,False,
710,Sophie Gonçalves,Feminino,246.958.031-51,28,barbosastephany@example.org,769,8.78,5.91,6.61,False,
711,Dr. Rodrigo Caldeira,Masculino,268.703.591-21,21,milena27@example.net,693,7.82,7.27,5.94,False,
712,Evelyn da Conceição,Feminino,901.648.527-94,21,olivia45@example.com,773,,,,True,2.0
713,Emilly Lopes,Feminino,681.250.379-77,24,jesusjoao@example.com,692,6.81,9.92,5.79,False,
714,Luiz Henrique Carvalho,Masculino,453.760.128-08,21,marcelaporto@example.net,725,5.19,6.45,9.14,False,
715,Vitor Gabriel Viana,Masculino,709.621.438-04,26,yurimelo@example.com,669,9.18,9.98,5.28,False,
716,Pedro Lucas Nunes,Masculino,697.132.045-06,20,laranunes@example.com,769,7.3,5.29,6.59,False,
717,Nathan Ramos,Masculino,025.193.674-07,27,davi14@example.com,700,7.5,9.11,9.84,False,
718,Maria Cecília Cunha,Feminino,325.197.846-28,27,voliveira@example.net,793,8.14,6.63,8.6,False,
719,Luigi Costa,Masculino,804.756.319-00,20,da-costaalana@example.org,642,9.99,5.33,8.04,False,
720,Ana Luiza Lima,Feminino,920.614.837-04,25,jesusjoao-gabriel@example.org,786,8.6,7.87,7.16,False,
721,Luiz Fernando Nunes,Masculino,290.438.675-00,20,garagao@example.org,737,9.35,8.66,,True,5.0
722,Lucas Freitas,Masculino,207.369.158-77,19,nicole22@example.net,763,9.08,6.23,,True,5.0
723,Natália Nogueira,Feminino,537.980.241-97,19,fariasisis@example.net,714,9.39,9.65,9.04,False,
724,Ana Luiza Moraes,Feminino,986.321.504-05,18,barrosenrico@example.com,796,5.27,9.03,7.09,False,
725,Breno Monteiro,Masculino,420.678.953-38,21,rodriguesjuan@example.com,709,7.37,,,True,4.0
726,Evelyn Caldeira,Feminino,791.048.532-88,22,enricomoreira@example.net,643,6.6,9.35,8.95,False,
727,Bernardo Mendes,Masculino,153.409.768-66,25,raquel44@example.com,696,8.26,8.65,9.31,False,
728,João Lucas Jesus,Masculino,127.658.340-08,19,marianegomes@example.org,775,9.41,9.62,9.69,False,
729,Heitor Porto,Masculino,935.204.687-00,24,mouraeloah@example.net,660,,,,True,2.0
730,Luiza Moreira,Feminino,420.895.763-83,24,lara73@example.net,782,8.35,5.08,8.59,False,
731,Valentina Barbosa,Feminino,028.615.947-30,27,maria-juliaalves@example.net,786,9.82,,,True,3.0
732,Nicolas Gomes,Masculino,012.583.976-68,25,vitorcampos@example.net,776,,,,True,2.0
733,Leandro Santos,Masculino,310.594.867-84,28,claraduarte@example.com,790,5.84,8.67,5.91,False,
734,Ana Lívia Silva,Feminino,641.958.032-33,27,laisfarias@example.org,680,9.45,,,True,4.0
735,Nina Pinto,Feminino,714.209.865-11,20,da-cruzjulia@example.net,800,9.55,8.29,6.8,False,
736,Yuri Correia,Masculino,743.918.062-31,22,marinaaragao@example.net,734,,,,True,2.0
737,Ana Laura Pires,Feminino,192.057.643-61,25,nda-mata@example.net,695,7.28,6.9,7.61,False,
738,Dr. Antônio Teixeira,Masculino,791.823.046-96,27,da-matamaria-fernanda@example.com,655,5.77,6.87,9.71,False,
739,Bryan Dias,Masculino,250.734.916-61,26,azevedonina@example.org,686,7.82,9.03,9.88,False,
740,Helena Aragão,Feminino,372.851.609-03,20,vmoura@example.com,652,7.35,5.19,7.17,False,
741,Vitória Pinto,Feminino,572.346.081-17,24,alveslucca@example.net,656,,,,True,2.0
742,Marcela Caldeira,Feminino,273.460.985-10,25,wnunes@example.net,737,,,,True,2.0
743,Rodrigo Silveira,Masculino,693.502.148-06,26,maysa53@example.org,686,5.0,7.96,8.08,False,
744,Yasmin Monteiro,Feminino,428.103.675-07,22,qcastro@example.com,781,8.35,8.37,6.1,False,
745,Sarah Fernandes,Feminino,025.389.146-98,22,uda-cruz@example.org,769,9.02,8.3,5.89,False,
746,Nicole Dias,Feminino,850.216.479-11,20,fcampos@example.net,703,8.66,7.68,6.18,False,
747,Francisco Alves,Masculino,506.184.237-53,18,joao-lucasfernandes@example.net,776,5.06,7.76,8.07,False,
748,Sra. Catarina da Luz,Feminino,312.954.806-89,26,novaesmurilo@example.com,683,6.92,7.03,7.88,False,
749,Carlos Eduardo da Mata,Masculino,031.895.472-97,25,vda-conceicao@example.org,699,5.52,,,True,4.0
750,Murilo da Luz,Masculino,276.394.580-56,25,igor28@example.org,750,7.7,8.48,5.44,False,
751,Isis Moura,Feminino,503.691.872-02,19,jesuspedro-lucas@example.org,702,8.01,5.37,5.13,False,
752,Carolina da Cruz,Feminino,678.425.190-30,20,hda-mota@example.org,723,5.41,9.13,8.81,False,
753,Ana Júlia Araújo,Feminino,052.186.937-40,28,diegorodrigues@example.org,759,5.11,6.04,6.22,False,
754,Sra. Elisa Porto,Feminino,256.041.873-80,20,helena34@example.com,769,6.51,6.36,,True,5.0
755,Olivia Oliveira,Feminino,450.618.792-01,21,ujesus@example.net,760,9.98,9.64,5.91,False,
756,Eloah Porto,Feminino,367.021.948-03,18,aporto@example.org,796,6.69,9.29,9.42,False,
757,Bruno Moura,Masculino,872.691.453-00,23,stellacostela@example.org,672,8.43,9.23,,True,6.0
758,Davi Lucas Cunha,Masculino,419.075.632-61,18,juanoliveira@example.org,758,8.98,6.24,7.49,False,
759,Lívia Araújo,Feminino,302.146.895-06,26,lucca53@example.net,709,6.75,,,True,3.0
760,André Jesus,Masculino,501.248.637-44,23,sabrina69@example.org,770,6.01,5.91,6.35,False,
761,João Felipe Souza,Masculino,475.219.368-09,22,claricearaujo@example.com,764,5.1,9.91,,True,6.0
762,Danilo Pereira,Masculino,923.804.517-88,26,da-luznina@example.net,756,5.21,9.46,9.17,False,
763,Dr. Leonardo Silveira,Masculino,783.421.965-00,23,heloisa53@example.net,662,6.12,7.17,,True,5.0
764,Davi Lucas Costela,Masculino,830.572.614-26,21,carlos-eduardoalmeida@example.org,667,6.07,,,True,3.0
